Evaluator,Model,Category,Difficulty,Question,Expected Answer,Generated Answer,Faithfulness,Answer Relevancy,Contextual Relevancy
ollama,qwen2.5:3b,Policy Information,Easy,What is my policy number?,INSX-MOT-2026-00018452,INSX-MOT-2026-00018452,1.0,1.0,0.0
ollama,qwen2.5:3b,Policy Information,Easy,Who is the policyholder?,Tishya Banerjee,Tishya Banerjee,1.0,0.0,0.0
ollama,qwen2.5:3b,Policy Information,Easy,What is the policy period?,01 Jan 2026 – 31 Dec 2026,The policy period is one year.,1.0,0.5,0.0
ollama,qwen2.5:3b,Vehicle Information,Easy,What is my vehicle registration number?,WB 06 AB 4582,WB 06  AB  4582,0.0,1.0,0.0
ollama,qwen2.5:3b,Vehicle Information,Easy,What is the engine number?,G4FLGM203491 (or your final value),G4FLGM203491,0.5,1.0,0.0
ollama,qwen2.5:3b,Vehicle Information,Easy,What is the chassis number?,MALPC81ALNM458271,MALPC81ALNM458271,1.0,1.0,0.0
ollama,qwen2.5:3b,Coverage,Easy,Is theft covered?,"Yes, theft of the insured vehicle is covered up to the applicable IDV, subject to policy terms and conditions.","Yes, theft of the insured vehicle is covered up to the applicable IDV, subject to policy terms, deductibles, and submission of required claim documents.",1.0,0.0,0.0
ollama,qwen2.5:3b,Coverage,Easy,Is flood damage covered?,"Yes, subject to deductible and policy conditions.","Yes, flood damage is covered up to the applicable Insured Declared Value (IDV) after applying the compulsory deductible.",0.0,0.5,0.0
ollama,qwen2.5:3b,Coverage,Easy,Is fire covered?,Yes.,"Yes, fire is covered under Section I (Own Damage) as an accidental external peril.",1.0,0.5,0.0
ollama,qwen2.5:3b,Coverage,Easy,Does the policy provide third-party liability coverage?,Yes.,"Yes, this policy provides third-party liability coverage. The policy covers statutory protection against the insured's legal liability for bodily injury or property damage caused to third parties arising from the use of the insured vehicle.",0.5,0.6666666666666666,0.0
ollama,qwen2.5:3b,Coverage,Easy,What is the personal accident cover amount?,"₹15,00,000","Rs. 15,00,000",0.8,1.0,0.0
ollama,qwen2.5:3b,Claims,Easy,What is the compulsory deductible?,"₹5,000 per Own Damage claim.","The compulsory deductible for this insurance policy is ₹5,000 per Own Damage claim.",1.0,0.5,0.0
ollama,qwen2.5:3b,Claims,Medium,What is the claim notification period?,Within 48 hours.,The claim notification period is 7 days.,1.0,0.5,0.0
ollama,qwen2.5:3b,Claims,Medium,How long does claim settlement normally take?,7 working days after complete documentation and approval.,The normal time frame for claim settlement is within 7 working days following formal surveyor and invoice approval.,1.0,0.5,0.0
ollama,qwen2.5:3b,Customer Support,Medium,How do I raise a complaint?,"Toll-free number, support email, grievance email.","To raise a complaint, please use these standardized communication lines:

● Toll-Free Helpline Desk: 1800-123-4567 (Central Customer Operations Center)
● Official Core Email Portal: support@insurix.co.in
● Corporate Web URL Domain: www.insurixinsurance.co.in
● Regional Grievance Escalations: grievance@insurix.co.in",0.75,0.0,0.14285714285714285
ollama,qwen2.5:3b,Add-on Covers,Medium,What is Engine Protect Cover?,"Covers engine and gearbox damage due to hydrostatic lock/fluid ingress, subject to policy terms.","The Engine Protect Cover reimburses overhaul expenses for engine blocks and gearboxes damaged via hydrostatic lock or fluid leakage, with a limit of 1 claim per term up to Rs. 25,00,000.",1.0,0.0,0.0
