Evaluator,Category,Difficulty,Question,Expected Answer,Generated Answer,Faithfulness,Reason
ollama,Policy Information,Easy,What is my policy number?,INSX-MOT-2026-00018452,INSX-MOT-2026-00018452,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Policy Information,Easy,Who is the policyholder?,Tishya Banerjee,Tishya Banerjee,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Policy Information,Easy,What is the policy period?,01 Jan 2026 – 31 Dec 2026,The policy period is one year.,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Vehicle Information,Easy,What is my vehicle registration number?,WB 06 AB 4582,WB 06  AB  4582,0.0,The score is 0.00 because there are no contradictions and thus the `actual output` does not deviate from the retrieval context.
ollama,Vehicle Information,Easy,What is the engine number?,G4FLGM203491 (or your final value),G4FLGM203491,0.5,"The score is 0.5 because several contradictions are identified in the `actual output`, such as invalid or inconsistent information like 'manufacturing year (2024)' for a real-world context where vehicles cannot be manufactured in the future, and potentially misleading identifiers that do not align with typical vehicle details provided in insurance contexts."
ollama,Vehicle Information,Easy,What is the chassis number?,MALPC81ALNM458271,MALPC81ALNM458271,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Coverage,Easy,Is theft covered?,"Yes, theft of the insured vehicle is covered up to the applicable IDV, subject to policy terms and conditions.","Yes, theft of the insured vehicle is covered up to the applicable IDV, subject to policy terms, deductibles, and submission of required claim documents.",1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Coverage,Easy,Is flood damage covered?,"Yes, subject to deductible and policy conditions.","Yes, flood damage is covered up to the applicable Insured Declared Value (IDV) after applying the compulsory deductible.",0.0,The score is 0.00 because there are no contradictions and thus the `actual output` does not deviate from the retrieval context.
ollama,Coverage,Easy,Is fire covered?,Yes.,"Yes, fire is covered under Section I (Own Damage) as an accidental external peril.",1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Coverage,Easy,Does the policy provide third-party liability coverage?,Yes.,"Yes, this policy provides third-party liability coverage. The policy covers statutory protection against the insured's legal liability for bodily injury or property damage caused to third parties arising from the use of the insured vehicle.",0.5,The score is 0.50 because there are no contradictions that would explain why the `actual output` deviates from the retrieval context.
ollama,Coverage,Easy,What is the personal accident cover amount?,"₹15,00,000","Rs. 15,00,000",0.8,The score is 0.80 because there are no contradictions that would reduce the faithfulness of the `actual output` to the retrieval context.
ollama,Claims,Easy,What is the compulsory deductible?,"₹5,000 per Own Damage claim.","The compulsory deductible for this insurance policy is ₹5,000 per Own Damage claim.",1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Claims,Medium,What is the claim notification period?,Within 48 hours.,The claim notification period is 7 days.,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Claims,Medium,How long does claim settlement normally take?,7 working days after complete documentation and approval.,The normal time frame for claim settlement is within 7 working days following formal surveyor and invoice approval.,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Customer Support,Medium,How do I raise a complaint?,"Toll-free number, support email, grievance email.","To raise a complaint, please use these standardized communication lines:

● Toll-Free Helpline Desk: 1800-123-4567 (Central Customer Operations Center)
● Official Core Email Portal: support@insurix.co.in
● Corporate Web URL Domain: www.insurixinsurance.co.in
● Regional Grievance Escalations: grievance@insurix.co.in",0.75,The score is 0.75 because the actual output claims information about a corporate web URL domain that is not supported by the provided retrieval context.
ollama,Add-on Covers,Medium,What is Engine Protect Cover?,"Covers engine and gearbox damage due to hydrostatic lock/fluid ingress, subject to policy terms.","The Engine Protect Cover reimburses overhaul expenses for engine blocks and gearboxes damaged via hydrostatic lock or fluid leakage, with a limit of 1 claim per term up to Rs. 25,00,000.",1.0,The score is 1.00 because there are no contradictions with the retrieval context.
