Evaluator,Model,Category,Difficulty,Question,Expected Answer,Generated Answer,Faithfulness,Answer Relevancy,Contextual Relevancy,Retrieval Time (ms),Generation Time (ms),Total Time (ms),Response Length (words),Exact Match,Precision,Recall,F1 Score
ollama,qwen2.5:3b,Policy Information,Easy,What is my policy number?,INSX-MOT-2026-00018452,INSX-MOT-2026-00018452,1.0,1.0,0.0,342.99,3953.43,4297.05,1,1,1.0,1.0,1.0
ollama,qwen2.5:3b,Policy Information,Easy,Who is the policyholder?,Tishya Banerjee,Tishya Banerjee,1.0,0.0,0.0,433.41,3720.18,4154.89,2,1,1.0,1.0,1.0
ollama,qwen2.5:3b,Policy Information,Easy,What is the policy period?,01 Jan 2026 – 31 Dec 2026,The policy period is one year.,1.0,0.5,0.0,755.03,1746.48,2855.43,6,0,0.0,0.0,0.0
ollama,qwen2.5:3b,Vehicle Information,Easy,What is the engine number?,G4FLGM203491 (or your final value),G4FLGM203491,0.5,1.0,0.0,1451.35,2493.22,6576.2,1,0,1.0,0.2,0.333
ollama,qwen2.5:3b,Vehicle Information,Easy,What is the chassis number?,MALPC81ALNM458271,MALPC81ALNM458271,1.0,1.0,0.0,627.57,2066.75,3714.19,1,1,1.0,1.0,1.0
ollama,qwen2.5:3b,Coverage,Easy,Is theft covered?,"Yes, theft of the insured vehicle is covered up to the applicable IDV, subject to policy terms and conditions.","Yes, theft of the insured vehicle is covered up to the applicable IDV, subject to policy terms, deductibles, and submission of required claim documents.",1.0,0.0,0.0,2939.73,3710.77,12992.33,24,0,0.75,0.947,0.837
ollama,qwen2.5:3b,Coverage,Easy,Is fire covered?,Yes.,"Yes, fire is covered under Section I (Own Damage) as an accidental external peril.",1.0,0.5,0.0,886.9,2571.51,3986.44,14,0,0.071,1.0,0.133
ollama,qwen2.5:3b,Coverage,Easy,Does the policy provide third-party liability coverage?,Yes.,"Yes, this policy provides third-party liability coverage. The policy covers statutory protection against the insured's legal liability for bodily injury or property damage caused to third parties arising from the use of the insured vehicle.",0.5,0.6666666667,0.0,858.59,3337.75,4727.12,35,0,0.027,1.0,0.053
ollama,qwen2.5:3b,Coverage,Easy,What is the personal accident cover amount?,"₹15,00,000.00","Rs. 15,00,000",0.8,1.0,0.0,851.14,2363.42,4587.55,2,0,0.0,0.0,0.0
ollama,qwen2.5:3b,Claims,Easy,What is the compulsory deductible?,"₹5,000 per Own Damage claim.","The compulsory deductible for this insurance policy is ₹5,000 per Own Damage claim.",1.0,0.5,0.0,840.85,2700.68,4036.26,13,0,0.385,1.0,0.556
