Evaluator,Category,Difficulty,Question,Expected Answer,Generated Answer,Faithfulness,Reason
ollama,Policy Information,Easy,What is the Insured Declared Value (IDV)?,"₹16,80,000","The Insured Declared Value (IDV) is determined based on the manufacturer's listed selling price adjusted for age depreciation, as specified in the Policy Schedule.",0.0,"The score is 0.00 because the `actual output` contradicts the information that the IDV (Insurance Determined Value) is calculated based on the manufacturer's listed selling price adjusted for age depreciation, not solely by it."
ollama,Vehicle Information,Easy,What is the manufacturing year of my vehicle?,2024,The manufacturing year of your vehicle is 2024.,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Vehicle Information,Easy,What is the fuel type?,Petrol,Petrol,0.9,The score is 0.90 because there are no contradictions that would reduce the faithfulness of the `actual output` to the retrieval context.
ollama,Vehicle Information,Easy,Which RTO is my vehicle registered under?,Kolkata (WB06),"The vehicle is registered with the Regional Transport Authority (RTA) in Kolkata, as indicated by the Registration Number WB 06 AB 4582.",1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Coverage,Medium,Does the policy cover earthquake damage?,"Yes, earthquake damage is covered under Own Damage coverage.","Yes, the policy covers earthquake damage under Clause 6.1 of Section I - Detailed Own Damage (OD) Coverage.",0.0,The score is 0.00 because there are no contradictions and thus the `actual output` does not deviate from the retrieval context.
ollama,Coverage,Medium,Does the policy cover riots and strikes?,"Yes, riots and strikes are covered under Own Damage coverage.",No. The policy does not cover riots and strikes as they are excluded under Exclusion 10.2.,0.0,The score is 0.00 because there are no contradictions and thus the `actual output` does not deviate from the retrieval context.
ollama,Add-on,Medium,Does this policy include Zero Depreciation Cover?,"Yes, Zero Depreciation Cover is included.","Yes, this policy includes Zero Depreciation Cover.",1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Add-on,Medium,Does the policy provide a Courtesy Car?,Yes. Courtesy Car Add-on is active subject to policy conditions.,"Yes, the policy provides a Courtesy Car benefit if the Courtesy Car Add-on has been purchased and is active under this policy. The courtesy car can be either a temporary replacement vehicle or rental reimbursement while the insured vehicle is being repaired at an authorized network garage. This benefit is limited to 7 consecutive days per claim and 14 days per policy year, subject to the policy terms and conditions.",1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Exclusion,Medium,Are personal belongings inside the vehicle covered?,No. Personal belongings inside the vehicle are not covered unless separately insured.,"No. Personal belongings such as mobile phones, laptops, cash, jewellery, luggage, documents, electronic devices, and other personal cargo kept inside the insured vehicle are not covered under this policy unless specifically insured through an endorsed add-on. This exclusion applies even if the insured vehicle itself is stolen.",0.0,The score is 0.00 because all provided contradictions indicate alignment rather than contradiction between the `actual output` and the retrieval context.
ollama,Exclusion,Medium,Is damage caused by drunk driving covered?,No. Damage while driving under the influence of alcohol is excluded.,No.,1.0,The score is 1.00 because there are no contradictions with the retrieval context.
ollama,Claims,Medium,What documents are required for a theft claim?,"FIR, RC, claim form, original keys, policy document and Non-Traceable Report (where required).","To settle a claim for theft of the insured vehicle, the policyholder must submit:  
● Original Registration Certificate (RC)  
● Both keys  
● Factory Purchase Invoice  
● Claim Form  
● Certified FIR issued by the competent court or police authority (where applicable)  
● Registration Certificate (RC)  
● Original Vehicle Keys  
● Duly completed claim form  
● Any additional documents requested by INSURIX during claim assessment.",0.875,The score is 0.88 because there are no contradictions that would reduce the faithfulness of the `actual output` to the retrieval context.
ollama,Claims,Medium,Can I get cashless settlement outside a network garage?,No. Cashless settlement requires repairs at an authorized network garage.,"No, you cannot get cashless settlement outside a network garage. The policy specifies that the Cashless Settlement Facility is available only at all authorized INSURIX network garage properties.",0.0,The score is 0.00 because there are no contradictions and thus the `actual output` does not deviate from the retrieval context.
